timestamp,room,zone,occupied
2025-01-01 00:00,LivingRoom,1,0
2025-01-01 00:00,Kitchen,1,0
2025-01-01 00:00,DiningRoom,1,0
2025-01-01 00:00,Office,2,0
2025-01-01 00:00,Laundry,2,0
2025-01-01 00:00,GarageEntry,2,0
2025-01-01 00:00,MasterBedroom,3,0
2025-01-01 00:00,KidsBedroom,3,0
2025-01-01 00:00,GuestBedroom,3,0
2025-01-01 00:00,UpstairsHall,4,1
2025-01-01 00:00,Bathroom,4,0
2025-01-01 00:01,LivingRoom,1,0
2025-01-01 00:01,Kitchen,1,0
2025-01-01 00:01,DiningRoom,1,0
2025-01-01 00:01,Office,2,0
2025-01-01 00:01,Laundry,2,0
2025-01-01 00:01,GarageEntry,2,0
2025-01-01 00:01,MasterBedroom,3,0
2025-01-01 00:01,KidsBedroom,3,0
2025-01-01 00:01,GuestBedroom,3,0
2025-01-01 00:01,UpstairsHall,4,1
2025-01-01 00:01,Bathroom,4,0
2025-01-01 00:02,LivingRoom,1,0
2025-01-01 00:02,Kitchen,1,0
2025-01-01 00:02,DiningRoom,1,0
2025-01-01 00:02,Office,2,0
2025-01-01 00:02,Laundry,2,0
2025-01-01 00:02,GarageEntry,2,0
2025-01-01 00:02,MasterBedroom,3,0
2025-01-01 00:02,KidsBedroom,3,0
2025-01-01 00:02,GuestBedroom,3,0
2025-01-01 00:02,UpstairsHall,4,1
2025-01-01 00:02,Bathroom,4,0
2025-01-01 00:03,LivingRoom,1,0
2025-01-01 00:03,Kitchen,1,0
2025-01-01 00:03,DiningRoom,1,0
2025-01-01 00:03,Office,2,0
2025-01-01 00:03,Laundry,2,0
2025-01-01 00:03,GarageEntry,2,0
2025-01-01 00:03,MasterBedroom,3,0
2025-01-01 00:03,KidsBedroom,3,0
2025-01-01 00:03,GuestBedroom,3,0
2025-01-01 00:03,UpstairsHall,4,1
2025-01-01 00:03,Bathroom,4,0
2025-01-01 00:04,LivingRoom,1,0
2025-01-01 00:04,Kitchen,1,0
2025-01-01 00:04,DiningRoom,1,0
2025-01-01 00:04,Office,2,0
2025-01-01 00:04,Laundry,2,0
2025-01-01 00:04,GarageEntry,2,0
2025-01-01 00:04,MasterBedroom,3,0
2025-01-01 00:04,KidsBedroom,3,0
2025-01-01 00:04,GuestBedroom,3,0
